adjust	n	seed	col	coverage	r2	length
PredInterval	1.0	0	marginal	0.959	0.5247845819629708	1.207895596962914
PredInterval	1.0	0	marginal	0.9648	0.5516115417171021	1.0988119069875075
PredInterval	1.0	0	marginal	0.9652	0.5489662295020548	1.1044771336520165
PredInterval	1.0	0	marginal	0.9631	0.5370959896155719	1.1031112690650846
PredInterval	1.0	0	marginal	0.9692	0.5313890816570886	1.1232864300419447
PredInterval	1.0	0	marginal	0.964	0.5331409930542587	1.215986219361714
PredInterval	1.0	0	marginal	0.9552	0.5383880790206444	1.4942287354275234
PredInterval	1.0	0	marginal	0.961	0.5424535964599441	1.1962687777163798
PredInterval	1.0	0	marginal	0.9607	0.5141935224110128	1.1000792022141848
PredInterval	1.0	0	marginal	0.9544	0.520981369765109	1.2771245252887455
PredInterval	1.0	0	marginal	0.9607	0.5434114558164658	1.256327859854706
PredInterval	1.0	0	marginal	0.9586	0.5402056765476865	1.1960189837873867
