method	n	seed	col	coverage	r2	length	group	subgroup	cv
CalPred	10000	2	sex_q_1	0.9517896274653032	0.0033365845011044427	0.990301601749888	Sex	1	5
CalPred	10000	3	age_q_0	0.9265536723163842	4.7842071166459065e-05	0.7872183402001409	Age	0	1
CalPred	10000	3	age_q_0	0.9265536723163842	0.000389064560848488	0.7872183402001409	Age	0	2
CalPred	10000	3	age_q_0	0.9265536723163842	2.806021655406265e-06	0.7872183402001409	Age	0	3
CalPred	10000	3	age_q_0	0.9265536723163842	2.7972312897403096e-05	0.7872183402001409	Age	0	4
CalPred	10000	3	age_q_0	0.9265536723163842	4.400534766348743e-06	0.7872183402001409	Age	0	5
CalPred	10000	3	age_q_4	0.9417004048582996	0.00022048032972423593	0.9550807373327987	Age	4	1
CalPred	10000	3	age_q_4	0.9417004048582996	0.00021307601080579542	0.9550807373327987	Age	4	2
CalPred	10000	3	age_q_4	0.9417004048582996	0.0002455635511911081	0.9550807373327987	Age	4	3
CalPred	10000	3	age_q_4	0.9417004048582996	0.0012040790758074303	0.9550807373327987	Age	4	4
CalPred	10000	3	age_q_4	0.9417004048582996	0.00021223039151268598	0.9550807373327987	Age	4	5
CalPred	10000	3	age_q_4	0.94129763130793	0.00022048032972423593	0.945252271474208	Age	4	1
CalPred	10000	3	age_q_4	0.94129763130793	0.00021307601080579542	0.945252271474208	Age	4	2
CalPred	10000	3	age_q_4	0.94129763130793	0.0002455635511911081	0.945252271474208	Age	4	3
CalPred	10000	3	age_q_4	0.94129763130793	0.0012040790758074303	0.945252271474208	Age	4	4
CalPred	10000	3	age_q_4	0.94129763130793	0.00021223039151268598	0.945252271474208	Age	4	5
CalPred	10000	3	age_q_9	0.9471974004874086	0.0015466367643321573	0.9737251336739764	Age	9	1
CalPred	10000	3	age_q_9	0.9471974004874086	0.0017426086986854065	0.9737251336739764	Age	9	2
CalPred	10000	3	age_q_9	0.9471974004874086	0.0037160286980254605	0.9737251336739764	Age	9	3
CalPred	10000	3	age_q_9	0.9471974004874086	0.0006582710539577945	0.9737251336739764	Age	9	4
CalPred	10000	3	age_q_9	0.9471974004874086	0.0014581466865441215	0.9737251336739764	Age	9	5
CalPred	10000	3	education_q_1	0.9414893617021276	0.001740158175265583	1.0401813348064517	Education	1	1
CalPred	10000	3	education_q_1	0.9414893617021276	2.130893139286532e-05	1.0401813348064517	Education	1	2
CalPred	10000	3	education_q_1	0.9414893617021276	2.333928486994177e-05	1.0401813348064517	Education	1	3
CalPred	10000	3	education_q_1	0.9414893617021276	0.0019711048858879645	1.0401813348064517	Education	1	4
CalPred	10000	3	education_q_1	0.9414893617021276	0.002296388809009073	1.0401813348064517	Education	1	5
CalPred	10000	3	education_q_4	0.9491634491634492	0.0027475067413013374	0.910941096412568	Education	4	1
CalPred	10000	3	education_q_4	0.9491634491634492	0.0018898831716289066	0.910941096412568	Education	4	2
CalPred	10000	3	education_q_4	0.9491634491634492	0.0028306138322126144	0.910941096412568	Education	4	3
CalPred	10000	3	education_q_4	0.9491634491634492	0.002899601970672939	0.910941096412568	Education	4	4
CalPred	10000	3	education_q_4	0.9491634491634492	0.003621673859936252	0.910941096412568	Education	4	5
CalPred	10000	3	income_q_1	0.94206008583691	0.008300585001777739	1.014203576339733	Income	1	1
CalPred	10000	3	income_q_1	0.94206008583691	0.0013542969754840868	1.014203576339733	Income	1	2
